k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
2.481409e-01,4.913509e-02,5.101627e-02,5.101627e-04,1.238228e-02,1.283328e-02,1.283328e-04
2.501748e-01,4.588871e-02,4.786770e-02,4.786770e-04,1.148080e-02,1.167114e-02,1.167114e-04
2.522088e-01,4.413631e-02,4.562720e-02,4.562720e-04,1.072988e-02,1.099010e-02,1.099010e-04
2.542427e-01,3.982358e-02,4.229235e-02,4.229235e-04,1.013761e-02,1.064600e-02,1.064600e-04
2.562767e-01,3.850207e-02,4.028601e-02,4.028601e-04,9.446196e-03,9.851193e-03,9.851193e-05
2.583106e-01,3.523506e-02,3.695806e-02,3.695806e-04,8.860594e-03,9.234020e-03,9.234020e-05
2.603446e-01,3.348027e-02,3.461952e-02,3.461952e-04,8.516366e-03,8.998816e-03,8.998816e-05
2.623785e-01,3.187164e-02,3.302893e-02,3.302893e-04,7.749659e-03,7.914852e-03,7.914852e-05
2.644124e-01,2.962060e-02,3.095006e-02,3.095006e-04,7.255797e-03,7.686653e-03,7.686653e-05
2.664464e-01,2.779926e-02,2.907229e-02,2.907229e-04,6.755603e-03,7.107590e-03,7.107590e-05
2.684803e-01,2.632746e-02,2.771403e-02,2.771403e-04,6.376768e-03,6.754141e-03,6.754141e-05
2.705143e-01,2.440746e-02,2.626850e-02,2.626850e-04,5.865364e-03,6.018366e-03,6.018366e-05
2.725482e-01,2.345785e-02,2.475410e-02,2.475410e-04,5.659460e-03,5.963708e-03,5.963708e-05
2.745821e-01,2.187317e-02,2.314266e-02,2.314266e-04,5.288759e-03,5.421379e-03,5.421379e-05
2.766161e-01,2.079400e-02,2.184771e-02,2.184771e-04,4.871175e-03,5.167255e-03,5.167255e-05
2.786500e-01,1.972028e-02,2.085054e-02,2.085054e-04,4.614543e-03,4.814948e-03,4.814948e-05
2.806840e-01,1.852979e-02,1.942220e-02,1.942220e-04,4.398496e-03,4.686015e-03,4.686015e-05
2.827179e-01,1.771224e-02,1.889544e-02,1.889544e-04,4.095132e-03,4.264620e-03,4.264620e-05
2.847519e-01,1.650231e-02,1.778212e-02,1.778212e-04,3.877198e-03,4.067708e-03,4.067708e-05
2.867858e-01,1.574443e-02,1.655521e-02,1.655521e-04,3.636578e-03,3.861063e-03,3.861063e-05
2.888197e-01,1.456739e-02,1.536841e-02,1.536841e-04,3.386130e-03,3.562761e-03,3.562761e-05
2.908537e-01,1.409726e-02,1.484705e-02,1.484705e-04,3.225056e-03,3.404762e-03,3.404762e-05
2.928876e-01,1.333456e-02,1.449152e-02,1.449152e-04,3.037698e-03,3.157320e-03,3.157320e-05
2.949216e-01,1.278647e-02,1.359897e-02,1.359897e-04,2.842617e-03,3.034218e-03,3.034218e-05
2.969555e-01,1.199174e-02,1.301937e-02,1.301937e-04,2.701283e-03,2.874042e-03,2.874042e-05
2.989894e-01,1.141070e-02,1.224903e-02,1.224903e-04,2.554993e-03,2.678226e-03,2.678226e-05
3.010234e-01,1.091944e-02,1.179095e-02,1.179095e-04,2.413469e-03,2.574056e-03,2.574056e-05
3.030573e-01,1.046066e-02,1.126691e-02,1.126691e-04,2.258369e-03,2.378815e-03,2.378815e-05
3.050913e-01,9.762160e-03,1.057941e-02,1.057941e-04,2.089609e-03,2.251712e-03,2.251712e-05
3.071252e-01,9.396930e-03,9.993972e-03,9.993972e-05,2.025538e-03,2.181126e-03,2.181126e-05
3.091592e-01,8.900462e-03,9.820626e-03,9.820626e-05,1.905010e-03,2.048122e-03,2.048122e-05
3.111931e-01,8.496490e-03,9.344996e-03,9.344996e-05,1.826397e-03,1.912981e-03,1.912981e-05
3.132270e-01,8.136461e-03,8.908908e-03,8.908908e-05,1.688964e-03,1.813877e-03,1.813877e-05
3.152610e-01,7.757537e-03,8.476956e-03,8.476956e-05,1.570210e-03,1.671124e-03,1.671124e-05
3.172949e-01,7.440844e-03,8.181468e-03,8.181468e-05,1.512999e-03,1.637114e-03,1.637114e-05
3.193289e-01,6.919980e-03,7.601195e-03,7.601195e-05,1.422834e-03,1.526350e-03,1.526350e-05
3.213628e-01,6.656507e-03,7.326968e-03,7.326968e-05,1.332285e-03,1.449222e-03,1.449222e-05
3.233967e-01,6.162537e-03,6.818550e-03,6.818550e-05,1.295100e-03,1.447447e-03,1.447447e-05
3.254307e-01,5.949733e-03,6.551286e-03,6.551286e-05,1.211599e-03,1.281091e-03,1.281091e-05
3.274646e-01,5.747156e-03,6.307570e-03,6.307570e-05,1.140522e-03,1.244695e-03,1.244695e-05
3.294986e-01,5.461314e-03,6.014611e-03,6.014611e-05,1.080220e-03,1.205244e-03,1.205244e-05
3.315325e-01,5.171728e-03,5.650597e-03,5.650597e-05,1.014925e-03,1.099095e-03,1.099095e-05
3.335665e-01,5.010387e-03,5.373464e-03,5.373464e-05,9.597662e-04,1.046154e-03,1.046154e-05
3.356004e-01,4.682990e-03,5.153852e-03,5.153852e-05,9.191209e-04,1.003181e-03,1.003181e-05
3.376343e-01,4.454540e-03,4.886847e-03,4.886847e-05,8.474858e-04,9.026860e-04,9.026860e-06
3.396683e-01,4.264463e-03,4.745732e-03,4.745732e-05,8.250007e-04,9.181842e-04,9.181842e-06
3.417022e-01,4.110662e-03,4.570600e-03,4.570600e-05,7.723650e-04,8.404807e-04,8.404807e-06
3.437362e-01,3.846825e-03,4.272553e-03,4.272553e-05,7.319893e-04,8.099928e-04,8.099928e-06
3.457701e-01,3.690120e-03,4.100179e-03,4.100179e-05,6.867688e-04,7.449585e-04,7.449585e-06
3.478040e-01,3.535060e-03,3.988596e-03,3.988596e-05,6.296390e-04,6.785016e-04,6.785016e-06
3.498380e-01,3.370621e-03,3.675401e-03,3.675401e-05,6.056910e-04,6.568008e-04,6.568008e-06
3.518719e-01,3.143643e-03,3.514535e-03,3.514535e-05,5.807263e-04,6.483441e-04,6.483441e-06
3.539059e-01,3.047378e-03,3.348567e-03,3.348567e-05,5.408227e-04,6.000152e-04,6.000152e-06
3.559398e-01,2.868610e-03,3.253891e-03,3.253891e-05,5.065393e-04,5.545568e-04,5.545568e-06
3.579738e-01,2.771520e-03,3.071123e-03,3.071123e-05,4.768095e-04,5.329064e-04,5.329064e-06
3.600077e-01,2.578237e-03,2.862310e-03,2.862310e-05,4.612911e-04,5.158613e-04,5.158613e-06
3.620416e-01,2.422729e-03,2.738890e-03,2.738890e-05,4.310566e-04,4.833759e-04,4.833759e-06
3.640756e-01,2.347891e-03,2.569446e-03,2.569446e-05,4.058914e-04,4.481234e-04,4.481234e-06
3.661095e-01,2.215750e-03,2.486902e-03,2.486902e-05,3.898911e-04,4.340965e-04,4.340965e-06
3.681435e-01,2.132888e-03,2.367649e-03,2.367649e-05,3.636544e-04,3.968904e-04,3.968904e-06
3.701774e-01,1.996129e-03,2.208442e-03,2.208442e-05,3.518306e-04,3.970113e-04,3.970113e-06
3.722113e-01,1.897212e-03,2.138707e-03,2.138707e-05,3.232526e-04,3.555187e-04,3.555187e-06
3.742453e-01,1.777692e-03,1.936990e-03,1.936990e-05,3.163459e-04,3.528256e-04,3.528256e-06
3.762792e-01,1.699759e-03,1.951167e-03,1.951167e-05,2.929236e-04,3.329563e-04,3.329563e-06
3.783132e-01,1.633302e-03,1.846303e-03,1.846303e-05,2.811806e-04,3.138229e-04,3.138229e-06
3.803471e-01,1.522307e-03,1.684341e-03,1.684341e-05,2.625023e-04,2.993528e-04,2.993528e-06
3.823811e-01,1.455571e-03,1.653171e-03,1.653171e-05,2.469386e-04,2.749900e-04,2.749900e-06
3.844150e-01,1.392229e-03,1.541830e-03,1.541830e-05,2.322415e-04,2.725193e-04,2.725193e-06
3.864489e-01,1.331218e-03,1.496549e-03,1.496549e-05,2.227336e-04,2.567975e-04,2.567975e-06
3.884829e-01,1.248139e-03,1.382659e-03,1.382659e-05,2.108674e-04,2.416654e-04,2.416654e-06
3.905168e-01,1.173037e-03,1.334011e-03,1.334011e-05,1.983698e-04,2.252524e-04,2.252524e-06
3.925508e-01,1.111153e-03,1.237935e-03,1.237935e-05,1.874718e-04,2.161749e-04,2.161749e-06
3.945847e-01,1.044783e-03,1.176913e-03,1.176913e-05,1.776082e-04,2.057434e-04,2.057434e-06
3.966187e-01,9.958049e-04,1.118286e-03,1.118286e-05,1.661804e-04,1.908274e-04,1.908274e-06
3.986526e-01,9.544912e-04,1.067357e-03,1.067357e-05,1.576802e-04,1.823932e-04,1.823932e-06
4.006865e-01,9.157110e-04,9.992071e-04,9.992071e-06,1.478279e-04,1.705884e-04,1.705884e-06
4.027205e-01,8.442278e-04,9.332646e-04,9.332646e-06,1.443800e-04,1.698205e-04,1.698205e-06
4.047544e-01,7.906379e-04,8.826471e-04,8.826471e-06,1.335901e-04,1.556210e-04,1.556210e-06
4.067884e-01,7.609313e-04,8.486946e-04,8.486946e-06,1.239458e-04,1.461691e-04,1.461691e-06
4.088223e-01,7.220931e-04,8.015451e-04,8.015451e-06,1.178165e-04,1.391983e-04,1.391983e-06
4.108562e-01,6.853764e-04,7.712171e-04,7.712171e-06,1.128205e-04,1.301726e-04,1.301726e-06
4.128902e-01,6.593259e-04,7.506180e-04,7.506180e-06,1.049977e-04,1.208464e-04,1.208464e-06
4.149241e-01,6.215331e-04,7.002438e-04,7.002438e-06,1.004540e-04,1.182517e-04,1.182517e-06
4.169581e-01,5.967071e-04,6.744087e-04,6.744087e-06,9.511527e-05,1.112197e-04,1.112197e-06
4.189920e-01,5.511903e-04,6.172442e-04,6.172442e-06,8.884702e-05,1.070417e-04,1.070417e-06
4.210260e-01,5.322688e-04,6.091237e-04,6.091237e-06,8.462584e-05,9.970977e-05,9.970977e-07
4.230599e-01,4.996658e-04,5.612696e-04,5.612696e-06,7.973579e-05,9.359982e-05,9.359982e-07
4.250938e-01,4.645392e-04,5.150061e-04,5.150061e-06,7.583255e-05,8.976976e-05,8.976976e-07
4.271278e-01,4.442131e-04,5.029922e-04,5.029922e-06,7.223038e-05,8.530939e-05,8.530939e-07
4.291617e-01,4.246278e-04,4.751532e-04,4.751532e-06,6.852512e-05,8.533590e-05,8.533590e-07
4.311957e-01,3.978890e-04,4.446319e-04,4.446319e-06,6.494316e-05,8.048767e-05,8.048767e-07
4.332296e-01,3.838449e-04,4.344960e-04,4.344960e-06,6.169074e-05,8.023208e-05,8.023208e-07
4.352635e-01,3.621738e-04,4.102876e-04,4.102876e-06,5.758318e-05,7.227271e-05,7.227271e-07
4.372975e-01,3.419708e-04,3.879741e-04,3.879741e-06,5.530088e-05,6.921037e-05,6.921037e-07
4.393314e-01,3.235058e-04,3.639750e-04,3.639750e-06,5.291156e-05,6.647830e-05,6.647830e-07
4.413654e-01,3.139642e-04,3.478894e-04,3.478894e-06,4.919634e-05,6.251057e-05,6.251057e-07
4.433993e-01,2.939114e-04,3.347677e-04,3.347677e-06,4.759711e-05,6.077103e-05,6.077103e-07
4.454333e-01,2.756536e-04,3.049533e-04,3.049533e-06,4.427889e-05,5.637680e-05,5.637680e-07
4.474672e-01,2.616671e-04,2.973527e-04,2.973527e-06,4.188037e-05,5.355826e-05,5.355826e-07
4.495011e-01,2.527623e-04,2.851457e-04,2.851457e-06,4.001734e-05,5.248297e-05,5.248297e-07
4.515351e-01,2.382571e-04,2.684492e-04,2.684492e-06,3.719212e-05,4.745292e-05,4.745292e-07
